1779792814.736403 server started (1080152): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1779792814.736424 on Linux 6.8.0-71-generic #71-Ubuntu SMP PREEMPT_DYNAMIC Tue Jul 22 16:52:38 UTC 2025
1779792814.736431 using libevent 2.1.12-stable poll
1779792814.736434 using ncurses 6.4 20240113
1779792814.736577 input_key_build: 0x10e1b0 (KP8) is 8
1779792814.736579 input_key_build: 0x10e1b1 (KP9) is 9
1779792814.736581 input_key_build: 0x10e1b2 (KP+) is +
1779792814.736583 input_key_build: 0x10e1b3 (KP4) is 4
1779792814.736587 input_key_build: 0x10e1b4 (KP5) is 5
1779792814.736589 input_key_build: 0x10e1b5 (KP6) is 6
1779792814.736591 input_key_build: 0x10e1b6 (KP1) is 1
1779792814.736593 input_key_build: 0x10e1b7 (KP2) is 2
1779792814.736595 input_key_build: 0x10e1b8 (KP3) is 3
1779792814.736597 input_key_build: 0x10e1b9 (KPEnter) is \n
1779792814.736599 input_key_build: 0x10e1ba (KP0) is 0
1779792814.736602 input_key_build: 0x10e1bb (KP.) is .
1779792814.736604 input_key_build: 0x200000000009 (C-Tab) is \t
1779792814.736606 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1779792814.736608 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1779792814.736611 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1779792814.736613 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1779792814.736615 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1779792814.736617 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1779792814.736620 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1779792814.736622 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1779792814.736624 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1779792814.736626 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1779792814.736628 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1779792814.736631 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1779792814.736633 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1779792814.736635 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1779792814.736637 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1779792814.736640 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1779792814.736642 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1779792814.736645 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1779792814.736648 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1779792814.736654 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1779792814.736657 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1779792814.736659 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1779792814.736661 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1779792814.736663 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1779792814.736666 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1779792814.736668 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1779792814.736670 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1779792814.736672 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1779792814.736675 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1779792814.736677 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1779792814.736679 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1779792814.736681 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1779792814.736683 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1779792814.736686 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1779792814.736688 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1779792814.736690 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1779792814.736692 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1779792814.736694 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1779792814.736697 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1779792814.736699 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1779792814.736701 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1779792814.736703 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1779792814.736706 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1779792814.736708 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1779792814.736710 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1779792814.736712 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1779792814.736715 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1779792814.736717 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1779792814.736719 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1779792814.736721 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1779792814.736724 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1779792814.736726 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1779792814.736728 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1779792814.736730 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1779792814.736733 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1779792814.736735 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1779792814.736737 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1779792814.736739 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1779792814.736742 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1779792814.736744 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1779792814.736746 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1779792814.736749 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1779792814.736751 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1779792814.736753 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1779792814.736755 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1779792814.736758 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1779792814.736760 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1779792814.736762 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1779792814.736765 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1779792814.736767 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1779792814.736769 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1779792814.736772 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1779792814.736774 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1779792814.736777 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1779792814.736780 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1779792814.736782 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1779792814.736788 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1779792814.736790 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1779792814.736792 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1779792814.736794 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1779792814.736797 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1779792814.736799 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1779792814.736801 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1779792814.736803 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1779792814.736806 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1779792814.736808 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1779792814.736810 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1779792814.736813 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1779792814.736815 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1779792814.736817 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1779792814.736820 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1779792814.736822 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1779792814.736824 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1779792814.736826 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1779792814.736829 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1779792814.736831 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1779792814.736833 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1779792814.736836 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1779792814.736838 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1779792814.736840 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1779792814.736843 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1779792814.736845 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1779792814.736847 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1779792814.736849 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1779792814.736852 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1779792814.736854 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1779792814.736856 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1779792814.736859 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1779792814.736861 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1779792814.736863 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1779792814.736866 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1779792814.736868 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1779792814.736870 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1779792814.736873 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1779792814.736897 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1779792814.736901 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1779792814.736904 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1779792814.736907 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1779792814.736911 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1779792814.736914 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1779792814.736918 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1779792814.736921 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1779792814.736925 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1779792814.736928 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1779792814.736931 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1779792814.736935 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1779792814.736938 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1779792814.736942 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1779792814.736947 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1779792814.736951 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1779792814.736955 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1779792814.736962 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1779792814.736965 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1779792814.736968 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1779792814.736972 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1779792814.736975 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1779792814.736979 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1779792814.736982 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1779792814.736985 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1779792814.736989 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1779792814.736992 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1779792814.736996 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1779792814.736999 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1779792814.737003 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1779792814.737006 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1779792814.737010 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1779792814.737013 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1779792814.737016 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1779792814.737019 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1779792814.737023 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1779792814.737026 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1779792814.737030 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1779792814.737033 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1779792814.737037 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1779792814.737040 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1779792814.737043 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1779792814.737046 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1779792814.737049 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1779792814.737053 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1779792814.737056 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1779792814.737059 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1779792814.737063 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1779792814.737066 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1779792814.737069 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1779792814.737073 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1779792814.737076 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1779792814.737079 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1779792814.737083 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1779792814.737086 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1779792814.737089 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1779792814.737096 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1779792814.737099 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1779792814.737103 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1779792814.737106 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1779792814.737110 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1779792814.737113 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1779792814.737116 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1779792814.737129 yylex_token: end at WS
1779792814.737132 yylex_token: bind
1779792814.737136 yylex_token: end at WS
1779792814.737139 yylex_token: -N
1779792814.737143 yylex_token: end at WS
1779792814.737146 yylex_token: Send the prefix key
1779792814.737149 yylex_token: end at WS
1779792814.737152 yylex_token: C-b
1779792814.737155 yylex_token: end at WS
1779792814.737158 yylex_token: send-prefix
1779792814.737165 cmd_parse_build_commands 0:0: bind
1779792814.737174 cmd_parse_build_commands 0:1: -N
1779792814.737177 cmd_parse_build_commands 0:2: Send the prefix key
1779792814.737180 cmd_parse_build_commands 0:3: C-b
1779792814.737184 cmd_parse_build_commands 0:4 0:0: send-prefix
1779792814.737193 cmd_parse_build_commands 0:0: send-prefix
1779792814.737202 args_parse: flags end at 1 of 1
1779792814.737205 cmd_parse_build_commands: send-prefix
1779792814.737208 args_parse_flags: next -N
1779792814.737211 args_parse_flag_argument: -N = Send the prefix key
1779792814.737214 args_parse_flags: next C-b
1779792814.737217 args_parse: flags end at 3 of 5
1779792814.737220 args_parse: 3 = C-b (type STRING)
1779792814.737236 args_parse: 4 = send-prefix (type COMMANDS)
1779792814.737248 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1779792814.737253 cmdq_get_command: [bind-key/0x648c98afdff0] group 6
1779792814.737257 cmdq_append <global>: [bind-key/0x648c98afdff0]
1779792814.737261 yylex_token: end at WS
1779792814.737263 yylex_token: bind
1779792814.737266 yylex_token: end at WS
1779792814.737269 yylex_token: -N
1779792814.737272 yylex_token: end at WS
1779792814.737275 yylex_token: Rotate through the panes
1779792814.737278 yylex_token: end at WS
1779792814.737281 yylex_token: C-o
1779792814.737284 yylex_token: end at WS
1779792814.737286 yylex_token: rotate-window
1779792814.737290 cmd_parse_build_commands 0:0: bind
1779792814.737293 cmd_parse_build_commands 0:1: -N
1779792814.737296 cmd_parse_build_commands 0:2: Rotate through the panes
1779792814.737299 cmd_parse_build_commands 0:3: C-o
1779792814.737303 cmd_parse_build_commands 0:4 0:0: rotate-window
1779792814.737307 cmd_parse_build_commands 0:0: rotate-window
1779792814.737312 args_parse: flags end at 1 of 1
1779792814.737315 cmd_parse_build_commands: rotate-window
1779792814.737318 args_parse_flags: next -N
1779792814.737321 args_parse_flag_argument: -N = Rotate through the panes
1779792814.737324 args_parse_flags: next C-o
1779792814.737327 args_parse: flags end at 3 of 5
1779792814.737330 args_parse: 3 = C-o (type STRING)
1779792814.737334 args_parse: 4 = rotate-window (type COMMANDS)
1779792814.737340 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1779792814.737344 cmdq_get_command: [bind-key/0x648c98afe590] group 14
1779792814.737347 cmdq_append <global>: [bind-key/0x648c98afe590]
1779792814.737351 yylex_token: end at WS
1779792814.737354 yylex_token: bind
1779792814.737357 yylex_token: end at WS
1779792814.737360 yylex_token: -N
1779792814.737363 yylex_token: end at WS
1779792814.737366 yylex_token: Suspend the current client
1779792814.737369 yylex_token: end at WS
1779792814.737372 yylex_token: C-z
1779792814.737375 yylex_token: end at WS
1779792814.737378 yylex_token: suspend-client
1779792814.737382 cmd_parse_build_commands 0:0: bind
1779792814.737385 cmd_parse_build_commands 0:1: -N
1779792814.737388 cmd_parse_build_commands 0:2: Suspend the current client
1779792814.737391 cmd_parse_build_commands 0:3: C-z
1779792814.737394 cmd_parse_build_commands 0:4 0:0: suspend-client
1779792814.737398 cmd_parse_build_commands 0:0: suspend-client
1779792814.737404 args_parse: flags end at 1 of 1
1779792814.737407 cmd_parse_build_commands: suspend-client
1779792814.737410 args_parse_flags: next -N
1779792814.737413 args_parse_flag_argument: -N = Suspend the current client
1779792814.737416 args_parse_flags: next C-z
1779792814.737419 args_parse: flags end at 3 of 5
1779792814.737422 args_parse: 3 = C-z (type STRING)
1779792814.737426 args_parse: 4 = suspend-client (type COMMANDS)
1779792814.737432 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1779792814.737436 cmdq_get_command: [bind-key/0x648c98afec10] group 22
1779792814.737439 cmdq_append <global>: [bind-key/0x648c98afec10]
1779792814.737443 yylex_token: end at WS
1779792814.737446 yylex_token: bind
1779792814.737449 yylex_token: end at WS
1779792814.737470 yylex_token: -N
1779792814.737473 yylex_token: end at WS
1779792814.737476 yylex_token: Select next layout
1779792814.737485 yylex_token: end at WS
1779792814.737487 yylex_token: Space
1779792814.737491 yylex_token: end at WS
1779792814.737494 yylex_token: next-layout
1779792814.737498 cmd_parse_build_commands 0:0: bind
1779792814.737501 cmd_parse_build_commands 0:1: -N
1779792814.737504 cmd_parse_build_commands 0:2: Select next layout
1779792814.737507 cmd_parse_build_commands 0:3: Space
1779792814.737510 cmd_parse_build_commands 0:4 0:0: next-layout
1779792814.737514 cmd_parse_build_commands 0:0: next-layout
1779792814.737519 args_parse: flags end at 1 of 1
1779792814.737522 cmd_parse_build_commands: next-layout
1779792814.737525 args_parse_flags: next -N
1779792814.737528 args_parse_flag_argument: -N = Select next layout
1779792814.737532 args_parse_flags: next Space
1779792814.737535 args_parse: flags end at 3 of 5
1779792814.737538 args_parse: 3 = Space (type STRING)
1779792814.737541 args_parse: 4 = next-layout (type COMMANDS)
1779792814.737547 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1779792814.737552 cmdq_get_command: [bind-key/0x648c98b00d80] group 30
1779792814.737555 cmdq_append <global>: [bind-key/0x648c98b00d80]
1779792814.737559 yylex_token: end at WS
1779792814.737562 yylex_token: bind
1779792814.737564 yylex_token: end at WS
1779792814.737567 yylex_token: -N
1779792814.737570 yylex_token: end at WS
1779792814.737573 yylex_token: Break pane to a new window
1779792814.737576 yylex_token: end at WS
1779792814.737578 yylex_token: !
1779792814.737581 yylex_token: end at WS
1779792814.737584 yylex_token: break-pane
1779792814.737587 cmd_parse_build_commands 0:0: bind
1779792814.737590 cmd_parse_build_commands 0:1: -N
1779792814.737593 cmd_parse_build_commands 0:2: Break pane to a new window
1779792814.737597 cmd_parse_build_commands 0:3: !
1779792814.737600 cmd_parse_build_commands 0:4 0:0: break-pane
1779792814.737604 cmd_parse_build_commands 0:0: break-pane
1779792814.737607 args_parse: flags end at 1 of 1
1779792814.737610 cmd_parse_build_commands: break-pane
1779792814.737613 args_parse_flags: next -N
1779792814.737616 args_parse_flag_argument: -N = Break pane to a new window
1779792814.737619 args_parse_flags: next !
1779792814.737622 args_parse: flags end at 3 of 5
1779792814.737625 args_parse: 3 = ! (type STRING)
1779792814.737628 args_parse: 4 = break-pane (type COMMANDS)
1779792814.737634 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1779792814.737638 cmdq_get_command: [bind-key/0x648c98b012e0] group 38
1779792814.737641 cmdq_append <global>: [bind-key/0x648c98b012e0]
1779792814.737645 yylex_token: end at WS
1779792814.737648 yylex_token: bind
1779792814.737651 yylex_token: end at WS
1779792814.737653 yylex_token: -N
1779792814.737657 yylex_token: end at WS
1779792814.737660 yylex_token: Split window vertically
1779792814.737662 yylex_token: end at WS
1779792814.737665 yylex_token: "
1779792814.737668 yylex_token: end at WS
1779792814.737671 yylex_token: split-window
1779792814.737674 cmd_parse_build_commands 0:0: bind
1779792814.737677 cmd_parse_build_commands 0:1: -N
1779792814.737680 cmd_parse_build_commands 0:2: Split window vertically
1779792814.737683 cmd_parse_build_commands 0:3: "
1779792814.737686 cmd_parse_build_commands 0:4 0:0: split-window
1779792814.737690 cmd_parse_build_commands 0:0: split-window
1779792814.737696 args_parse: flags end at 1 of 1
1779792814.737699 cmd_parse_build_commands: split-window
1779792814.737701 args_parse_flags: next -N
1779792814.737704 args_parse_flag_argument: -N = Split window vertically
1779792814.737707 args_parse_flags: next "
1779792814.737710 args_parse: flags end at 3 of 5
1779792814.737713 args_parse: 3 = " (type STRING)
1779792814.737717 args_parse: 4 = split-window (type COMMANDS)
1779792814.737723 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1779792814.737727 cmdq_get_command: [bind-key/0x648c98b017e0] group 46
1779792814.737731 cmdq_append <global>: [bind-key/0x648c98b017e0]
1779792814.737735 yylex_token: end at WS
1779792814.737742 yylex_token: bind
1779792814.737745 yylex_token: end at WS
1779792814.737748 yylex_token: -N
1779792814.737751 yylex_token: end at WS
1779792814.737754 yylex_token: List all paste buffers
1779792814.737757 yylex_token: end at WS
1779792814.737760 yylex_token: #
1779792814.737763 yylex_token: end at WS
1779792814.737766 yylex_token: list-buffers
1779792814.737771 cmd_parse_build_commands 0:0: bind
1779792814.737774 cmd_parse_build_commands 0:1: -N
1779792814.737777 cmd_parse_build_commands 0:2: List all paste buffers
1779792814.737780 cmd_parse_build_commands 0:3: #
1779792814.737783 cmd_parse_build_commands 0:4 0:0: list-buffers
1779792814.737787 cmd_parse_build_commands 0:0: list-buffers
1779792814.737791 args_parse: flags end at 1 of 1
1779792814.737795 cmd_parse_build_commands: list-buffers
1779792814.737798 args_parse_flags: next -N
1779792814.737801 args_parse_flag_argument: -N = List all paste buffers
1779792814.737804 args_parse_flags: next #
1779792814.737808 args_parse: flags end at 3 of 5
1779792814.737811 args_parse: 3 = # (type STRING)
1779792814.737816 args_parse: 4 = list-buffers (type COMMANDS)
1779792814.737823 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1779792814.737827 cmdq_get_command: [bind-key/0x648c98b02080] group 54
1779792814.737831 cmdq_append <global>: [bind-key/0x648c98b02080]
1779792814.737856 yylex_token: end at WS
1779792814.737859 yylex_token: bind
1779792814.737862 yylex_token: end at WS
1779792814.737865 yylex_token: -N
1779792814.737869 yylex_token: end at WS
1779792814.737871 yylex_token: Rename current session
1779792814.737874 yylex_token: end at WS
1779792814.737877 yylex_token: $
1779792814.737880 yylex_token: end at WS
